id_cliente,nombre,edad,ciudad,fecha_alta,email
173,María López,38,Mendoza,1/10/2024,maría.lópez@gmail.com
174,Ana Martínez,53,Rosario,6/29/2023,ana.martínez@gmail.com
175,Ana López,24,Rosario,10/30/2024,ana.lópez@gmail.com
176,Pedro Martínez,54,Mendoza,10/5/2023,pedro.martínez@gmail.com
177,Lucía Pérez,36,Buenos Aires,5/18/2024,lucía.pérez@gmail.com
178,María Pérez,29,Rosario,3/8/2024,maría.pérez@gmail.com
179,Luis Pérez,44,Mendoza,1/11/2024,luis.pérez@gmail.com
180,María Martínez,22,Buenos Aires,6/17/2023,maría.martínez@gmail.com
181,David López,29,Mendoza,11/10/2023,david.lópez@gmail.com
182,José López,55,Mendoza,7/29/2024,josé.lópez@gmail.com
183,Pedro Gómez,22,Mendoza,7/2/2023,pedro.gómez@gmail.com
184,Carla Gómez,48,Mendoza,8/5/2024,carla.gómez@gmail.com
185,María Pérez,27,Rosario,11/30/2023,maría.pérez@gmail.com
186,Pedro Pérez,34,Mendoza,7/12/2023,pedro.pérez@gmail.com
187,Lucía Gómez,35,Buenos Aires,8/1/2024,lucía.gómez@gmail.com
188,Pedro Martínez,38,Córdoba,7/15/2023,pedro.martínez@gmail.com
189,David Martínez,26,Buenos Aires,2/7/2024,david.martínez@gmail.com
190,Luis Pérez,28,Buenos Aires,9/4/2024,luis.pérez@gmail.com
191,Ana López,25,Córdoba,11/10/2023,ana.lópez@gmail.com
192,José Gómez,25,Mendoza,3/28/2023,josé.gómez@gmail.com
193,María Pérez,45,Buenos Aires,7/13/2023,maría.pérez@gmail.com
194,Carla Martínez,35,Buenos Aires,2/14/2024,carla.martínez@gmail.com
195,Carla Pérez,45,Mendoza,2/24/2023,carla.pérez@gmail.com
196,Pedro Martínez,22,Buenos Aires,1/10/2023,pedro.martínez@gmail.com
197,José Martínez,30,Mendoza,2/17/2023,josé.martínez@gmail.com
198,Lucía López,55,Mendoza,7/1/2024,lucía.lópez@gmail.com
199,Pedro Gómez,41,Rosario,6/5/2023,pedro.gómez@gmail.com
200,Carla Martínez,28,Mendoza,4/8/2024,carla.martínez@gmail.com
